line,variable_cost
NL-BE,7.0
BE-NL,7.0
DE-NL,19.0
NL-DE,19.0
DE-BE,19.5
BE-DE,19.5
FR-DE,35.0
DE-FR,35.0
FR-BE,23.5
BE-FR,23.5
DK-DE,25.5
DE-DK,25.5
DK-NL,24.0
NL-DK,24.0
UK-BE,30.0
BE-UK,30.0
UK-DK,25.0
DK-UK,25.0
UK-FR,45.0
FR-UK,45.0
UK-NL,29.0
NL-UK,29.0
IE-UK,18.5
UK-IE,18.5
IE-FR,49.0
FR-IE,49.0
CH-DE,22.0
DE-CH,22.0
CH-FR,23.0
FR-CH,23.0
AT-CH,21.0
CH-AT,21.0
AT-DE,23.5
DE-AT,23.5
LU-BE,7.5
BE-LU,7.5
LU-DE,15.0
DE-LU,15.0
LU-FR,19.5
FR-LU,19.5
CZ-AT,13.5
AT-CZ,13.5
CZ-DE,18.5
DE-CZ,18.5
PL-DK,33.5
DK-PL,33.5
PL-CZ,19.5
CZ-PL,19.5
PL-DE,31.5
DE-PL,31.5
SE-DK,46.5
DK-SE,46.5
SE-PL,63.0
PL-SE,63.0
SE-DE,71.0
DE-SE,71.0
NO-DK,34.5
DK-NO,34.5
NO-NL,53.5
NL-NO,53.5
NO-DE,58.5
DE-NO,58.5
NO-SE,17.0
SE-NO,17.0
NO-UK,54.5
UK-NO,54.5
ES-FR,46.5
FR-ES,46.5
PT-ES,18.0
ES-PT,18.0
IT-FR,44.5
FR-IT,44.5
IT-CH,26.5
CH-IT,26.5
IT-AT,24.5
AT-IT,24.5
MT-IT,40.5
IT-MT,40.5
SI-AT,20.5
AT-SI,20.5
SI-IT,26.0
IT-SI,26.0
HU-AT,19.0
AT-HU,19.0
HU-SI,18.5
SI-HU,18.5
SK-CZ,15.0
CZ-SK,15.0
SK-HU,9.5
HU-SK,9.5
SK-PL,20.0
PL-SK,20.0
LT-SE,46.5
SE-LT,46.5
LT-PL,22.5
PL-LT,22.5
LV-LT,9.5
LT-LV,9.5
EE-LV,10.0
LV-EE,10.0
FI-EE,28.5
EE-FI,28.5
FI-SE,26.5
SE-FI,26.5
HR-HU,17.0
HU-HR,17.0
HR-SI,6.5
SI-HR,6.5
GR-IT,45.0
IT-GR,45.0
BG-GR,23.5
GR-BG,23.5
RO-BG,18.0
BG-RO,18.0
RO-HU,21.5
HU-RO,21.5
CY-GR,52.0
GR-CY,52.0
AL-GR,14.0
GR-AL,14.0
AL-ME,9.0
ME-AL,9.0
AL-MK,6.5
MK-AL,6.5
AL-RS,15.0
RS-AL,15.0
BA-HR,11.5
HR-BA,11.5
BA-ME,9.5
ME-BA,9.5
BA-RS,12.0
RS-BA,12.0
BG-MK,15.5
MK-BG,15.5
BG-RS,19.5
RS-BG,19.5
DE-UK,41.0
UK-DE,41.0
GR-MK,11.5
MK-GR,11.5
HR-RS,21.5
RS-HR,21.5
HU-RS,16.5
RS-HU,16.5
IT-ME,28.5
ME-IT,28.5
ME-RS,9.5
RS-ME,9.5
MK-RS,14.5
RS-MK,14.5
RO-RS,19.0
RS-RO,19.0
