Line,Capacity
AL-GR,600
GR-AL,600
AL-ME,400
ME-AL,400
AL-MK,500
MK-AL,500
AL-RS,250
RS-AL,250
AT-CH,1200
CH-AT,1200
AT-CZ,900
CZ-AT,900
AT-DE,7500
DE-AT,7500
AT-HU,800
HU-AT,800
AT-IT,875
IT-AT,695
AT-SI,950
SI-AT,950
AT-SK,0
SK-AT,0
BA-HR,900
HR-BA,800
BA-ME,500
ME-BA,500
BA-RS,1640
RS-BA,1680
BE-DE,1000
DE-BE,1000
BE-FR,2800
FR-BE,4300
BE-LU,680
LU-BE,180
BE-NL,3400
NL-BE,3400
BE-UK,1000
UK-BE,1000
BG-GR,1700
GR-BG,1400
BG-MK,400
MK-BG,400
BG-RO,2190
RO-BG,2190
BG-RS,380
RS-BG,350
CH-DE,4200
DE-CH,4400
CH-FR,2200
FR-CH,4500
CH-IT,5772
IT-CH,3110
CY-GR,1000
GR-CY,1000
CZ-DE,2600
DE-CZ,2500
CZ-PL,600
PL-CZ,0
CZ-SK,1800
SK-CZ,1100
DE-DK,4500
DK-DE,4500
DE-FR,4800
FR-DE,4800
DE-LU,3700
LU-DE,3700
DE-NL,5000
NL-DE,5000
DE-NO,1400
NO-DE,1400
DE-PL,2000
PL-DE,0
DE-SE,1315
SE-DE,1315
DE-UK,1400
UK-DE,1400
DK-NL,700
NL-DK,700
DK-NO,1632
NO-DK,1632
DK-PL,0
PL-DK,0
DK-SE,2415
SE-DK,2015
DK-UK,1400
UK-DK,1400
EE-FI,1016
FI-EE,1016
EE-LV,950
LV-EE,879
ES-FR,5000
FR-ES,5000
ES-PT,4200
PT-ES,3500
FI-NO,0
NO-FI,0
FI-SE,3200
SE-FI,3200
FR-IE,700
IE-FR,700
FR-IT,4605
IT-FR,2310
FR-LU,380
LU-FR,0
FR-UK,5600
UK-FR,5600
GR-IT,500
IT-GR,500
GR-MK,1100
MK-GR,850
HR-HU,800
HU-HR,1000
HR-RS,300
RS-HR,400
HR-SI,1500
SI-HR,1500
HU-RO,1617
RO-HU,1435
HU-RS,600
RS-HU,700
HU-SI,1200
SI-HU,1200
HU-SK,1800
SK-HU,2513
IE-UK,3000
UK-IE,2950
IT-ME,600
ME-IT,600
IT-MT,225
MT-IT,225
IT-SI,1080
SI-IT,1153
LT-LV,950
LV-LT,950
LT-PL,700
PL-LT,700
LT-SE,700
SE-LT,700
ME-RS,540
RS-ME,1140
MK-RS,460
RS-MK,480
NL-NO,700
NO-NL,700
NL-UK,1000
UK-NL,1000
NO-SE,3695
SE-NO,3995
PL-SE,600
SE-PL,600
RO-RS,1984
RS-RO,1800
SK-PL,818
PL-SK,0
UK-NO,1400
NO-UK,1400
